"Rk","Player","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PKatt","PasTotCmp","PasTotAtt","PasTotCmp.","PasTotDist","PasTotPrgDist","PasShoCmp","PasShoAtt","PasShoCmp.","PasMedCmp","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasAtt","PasLive","PasDead","PasFK","TB","PasPress","Sw","PasCrs","CK","CkIn","CkOut","CkStr","PasGround","PasLow","PasHigh","PaswLeft","PaswRight","PaswHead","TI","PaswOther","PasCmp","PasOff","PasOut","PasInt","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Press","PresSucc","Press.","PresDef3rd","PresMid3rd","PresAtt3rd","Blocks","BlkSh","BlkShSv","BlkPass","Int","Tkl.Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","TouLive","DriSucc","DriAtt","DriSucc.","DriPast","DriMegs","Carries","CarTotDist","CarPrgDist","CarProg","Car3rd","CPA","CarMis","CarDis","RecTarg","Rec","Rec.","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","sofifa_id","player_url","short_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_tags","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk","player_face_url","club_logo_url","club_flag_url","nation_logo_url","nation_flag_url"
444,"Eduardo Camavinga","FRA","MF","Real Madrid","La Liga",19,2002,25,12,1191,13.2,0.15,0.91,0.38,41.7,0.17,0.4,23.6,0,0,0,57.4,63.7,90.1,1122.5,249.2,23.3,25.2,92.8,24.8,26.9,92.1,8.94,10.2,87.4,0.08,0.98,4.92,0.45,0.15,4.55,63.7,62.6,1.14,0.98,0.23,9.09,1.89,0.3,0,0,0,0,52.5,5.08,6.14,56.4,4.09,1.29,0.08,0.15,57.4,0.08,0.53,0.83,0.83,2.35,1.97,0,0.08,0,0.15,0.15,0.23,0.23,0,0,0,0,0,3.79,2.42,1.59,1.59,0.61,1.36,2.5,54.5,1.14,26.1,6.89,26.4,8.71,13,4.39,2.12,0.15,0,1.97,1.36,5.15,1.21,0,76.9,3.03,19.3,45.3,18.6,1.74,76.3,1.59,2.42,65.6,1.59,0.08,57.5,279.4,149.2,5.15,2.12,0.15,1.36,1.29,61.4,57.7,94,3.03,0.61,0,0,3.18,2.8,0.08,0.3,2.42,0,0,0,8.18,2.27,0.76,75,248243,"https://sofifa.com/player/248243/eduardo-camavinga/220002","E. Camavinga","CM, CDM",78,89,29500000,44000,18,2002-11-10,182,68,243,"Real Madrid CF","Spain Primera Division",1,"SUB",25,NA,2021-09-01,2027,18,"France",NA,NA,NA,"Left",3,4,3,"High/High","Lean (170-185)","Yes",66400000,NA,"Flair, Technical Dribbler (AI)",72,65,76,80,75,77,70,62,64,81,59,80,72,59,77,81,73,71,80,78,76,72,70,80,76,64,77,76,73,77,62,81,75,78,76,12,6,8,12,12,NA,"72+3","72+3","72+3","75",75,75,75,"75","76+3","76+3","76+3","76+3","78+3","78+3","78+3","76+3","77+3","78+3","78+3","78+3","77+3","76+3","75+3","75+3","75+3","76+3","18+3","https://cdn.sofifa.net/players/248/243/22_120.png","https://cdn.sofifa.net/teams/243/60.png","https://cdn.sofifa.net/flags/es.png",NA,"https://cdn.sofifa.net/flags/fr.png"
451,"João Cancelo","POR","DF","Manchester City","Premier League",28,1994,36,36,3227,35.9,0.03,2.26,0.64,28.4,0.01,0.04,21.5,0.03,0,0,76.7,91.4,83.9,1375.5,401.9,36.3,39.3,92.4,31.5,36.4,86.7,8.27,13.4,61.6,0.19,1.09,7.41,2.65,0.36,7.63,91.4,82,9.42,1.42,0.17,8.22,2.76,2.87,0.03,0.03,0,0,63.5,13.7,14.2,10.5,69.1,2.7,7.97,0.19,76.7,0.25,1.5,2.98,1.95,2.87,2.28,0,0.19,0.33,0.03,0.03,0.45,0.31,0,0.03,0.08,0,0.03,2.48,1.5,0.86,1,0.61,0.97,2.31,42.2,1.34,9.67,3.31,34.3,2.95,3.84,2.87,1.25,0.11,0.03,1.14,2.09,4.57,1.56,0,103.5,2.06,16.9,55.5,38.2,3.31,94.3,1.48,2.92,50.5,1.64,0.33,75.3,329.3,179.9,10.1,3.84,0.97,0.78,0.81,78.9,75.7,96,3.54,0.19,0,0,1.03,1.03,0.06,2.87,1.5,0,0,0,9.72,1.36,1.25,52.1,210514,"https://sofifa.com/player/210514/joao-pedro-cavaco-cancelo/220002","João Cancelo","RB, LB",86,87,71500000,185000,27,1994-05-27,182,74,10,"Manchester City","English Premier League",1,"LB",27,NA,2019-08-07,2025,38,"Portugal",1354,"RB",20,"Right",4,4,3,"High/Medium","Unique","Yes",137600000,"#Crosser","Long Shot Taker (AI), Technical Dribbler (AI)",85,71,83,84,80,72,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,NA,"78+3","78+3","78+3","82",81,81,81,"82","82+3","82+3","82+3","83+3","83+3","83+3","83+3","83+3","84+3","81+3","81+3","81+3","84+3","83+3","78+3","78+3","78+3","83+3","19+3","https://cdn.sofifa.net/players/210/514/22_120.png","https://cdn.sofifa.net/teams/10/60.png","https://cdn.sofifa.net/flags/gb-eng.png","https://cdn.sofifa.net/teams/1354/60.png","https://cdn.sofifa.net/flags/pt.png"
475,"Dani Carvajal","ESP","DF","Real Madrid","La Liga",30,1992,24,17,1551,17.2,0.06,0.58,0.12,20,0.1,0.5,19.7,0,0,0,60.5,70.1,86.3,1082.8,291.5,27.7,30.3,91.4,23.9,27.2,88,7.79,10.2,76.1,0.17,1.51,2.62,1.57,0.47,3.95,70.1,60.8,9.24,1.05,0.06,6.63,1.4,2.33,0,0,0,0,48.1,13.5,8.43,3.49,55.2,2.27,8.2,0.41,60.5,0.17,1.05,2.03,1.16,2.21,2.03,0,0.06,0,0,0.12,0.35,0.29,0,0.06,0,0,0,2.03,1.28,0.87,0.7,0.47,0.7,1.8,38.7,1.1,13.5,3.78,27.9,5.23,4.94,3.37,1.92,0.52,0,1.4,1.98,4.01,2.03,0.12,79.9,4.65,23.3,33.3,27.2,2.33,71.1,0.47,1.16,40,0.52,0,48.8,198.8,98.4,4.24,1.63,0.35,0.7,0.76,56.5,53.1,94,3.43,0.06,0,0,1.45,0.64,0,2.33,1.28,0,0.06,0,7.97,0.87,0.99,46.9,204963,"https://sofifa.com/player/204963/daniel-carvajal-ramos/220002","Carvajal","RB",85,85,47500000,210000,29,1992-01-11,173,73,243,"Real Madrid CF","Spain Primera Division",1,"RB",2,NA,2013-07-05,2025,45,"Spain",NA,NA,NA,"Right",3,3,3,"High/Medium","Unique","Yes",97400000,NA,"Team Player",80,54,78,80,81,80,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,NA,"71+3","71+3","71+3","76",74,74,74,"76","76+3","76+3","76+3","78+3","78+3","78+3","78+3","78+3","83+2","81+3","81+3","81+3","83+2","82+3","80+3","80+3","80+3","82+3","20+3","https://cdn.sofifa.net/players/204/963/22_120.png","https://cdn.sofifa.net/teams/243/60.png","https://cdn.sofifa.net/flags/es.png",NA,"https://cdn.sofifa.net/flags/es.png"
478,"Casemiro","BRA","MF","Real Madrid","La Liga",30,1992,32,31,2569,28.5,0.04,1.44,0.32,22,0.02,0.11,24.5,0.04,0,0,60.1,69.6,86.4,1222.6,331.3,23.6,26.1,90.3,23.9,27.2,87.9,11.3,13.9,81.5,0.11,0.84,6.35,0.7,0.07,5.05,69.6,67.8,1.75,1.58,0.21,10.3,3.37,0.35,0,0,0,0,49.7,7.61,12.3,7.79,55.5,3.12,0.07,0.49,60.1,0.25,0.77,1.3,1.02,2.21,1.96,0,0,0.04,0.07,0.14,0.39,0.28,0,0,0.04,0.04,0.04,3.16,2.25,1.79,1.19,0.18,1.12,2.46,45.7,1.33,15.6,6.28,40.2,7.33,6.63,1.65,2.28,0.67,0,1.61,2.07,5.23,2.95,0.11,83.3,6.28,26.1,46,14.4,1.16,81.6,0.46,0.84,54.2,0.49,0.11,49.2,187.5,105.2,3.4,0.88,0.07,0.81,0.77,60,57.2,95.3,1.61,0.39,0,0,2.35,1.44,0.14,0.35,2.25,0.04,0,0,12.2,3.93,1.93,67.1,200145,"https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/220002","Casemiro","MF",89,89,8.8e+07,310000,29,1992-02-23,185,84,243,"Real Madrid CF","Spain Primera Division",1,"CDM",14,NA,2013-07-11,2025,54,"Brazil",NA,NA,NA,"Right",3,2,3,"High/High","Unique","Yes",180400000,"#Engine, #Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",65,73,76,73,86,90,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,NA,"76+3","76+3","76+3","72",76,76,76,"72","76+3","76+3","76+3","74+3","82+3","82+3","82+3","74+3","80+3","86+3","86+3","86+3","80+3","81+3","86+3","86+3","86+3","81+3","21+3","https://cdn.sofifa.net/players/200/145/22_120.png","https://cdn.sofifa.net/teams/243/60.png","https://cdn.sofifa.net/flags/es.png",NA,"https://cdn.sofifa.net/flags/br.png"
493,"Edinson Cavani","URU","FW","Manchester Utd","Premier League",35,1987,15,7,766,8.5,0.24,2.12,0.71,33.3,0.11,0.33,11.4,0,0,0,21.2,26.5,80,321.9,40.5,13.1,15.1,86.7,5.88,7.88,74.6,1.29,2.24,57.9,0.12,0.94,0.47,0.12,0,1.06,26.5,25.6,0.82,0.12,0,4.24,1.06,0.35,0,0,0,0,19.3,3.88,3.29,5.29,18.1,0.94,0.12,1.65,21.2,0,0.35,0.94,0.24,1.29,0.94,0,0,0.24,0.12,0,0.24,0.12,0,0,0.12,0,0,0.47,0.24,0,0.35,0.12,0.35,0.71,50,0.35,12.4,4.59,37.1,1.65,4.24,6.47,1.06,0,0,1.06,1.06,1.53,0.82,0,34.8,1.53,6.12,15.4,14.4,3.76,34.1,0.47,0.59,80,0.47,0,19.2,45.9,12.6,0.94,0.47,0.24,1.65,0.35,44,25.8,58.6,5.06,0,0,0,1.06,0.71,0.71,0.35,0.24,0,0,0,4,0.59,1.76,25,179813,"https://sofifa.com/player/179813/edinson-cavani/220002","E. Cavani","ST",85,85,2.6e+07,190000,34,1987-02-14,185,77,11,"Manchester United","English Premier League",1,"SUB",21,NA,2020-10-05,2022,60,"Uruguay",NA,NA,NA,"Right",4,3,4,"High/High","Unique","Yes",48100000,NA,"Injury Prone, Power Header",66,86,70,76,51,79,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,NA,"84+1","84+1","84+1","78",81,81,81,"78","78+3","78+3","78+3","76+3","73+3","73+3","73+3","76+3","65+3","64+3","64+3","64+3","65+3","63+3","63+3","63+3","63+3","63+3","19+3","https://cdn.sofifa.net/players/179/813/22_120.png","https://cdn.sofifa.net/teams/11/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/uy.png"
494,"Dani Ceballos","ESP","MF","Real Madrid","La Liga",25,1996,11,2,276,3.1,0,3.23,0.97,30,0,0,19.8,0.32,0,0,76.8,84.8,90.5,1403.2,349.7,34.5,37.7,91.5,31.6,33.5,94.2,9.35,11.3,82.9,0,0.97,5.16,1.61,0.32,4.19,84.8,83.5,1.29,0.97,0,9.03,2.58,0.32,0,0,0,0,73.5,5.48,5.81,2.9,80,0.65,0.32,0.65,76.8,0,0.97,1.94,1.29,4.19,3.55,0,0,0.65,0,0,0.65,0.32,0,0,0.32,0,0,3.87,1.94,1.61,2.26,0,1.61,2.58,62.5,0.97,21.3,6.45,30.3,5.81,10.3,5.16,1.94,0.65,0,1.29,2.26,6.13,0,0,100.6,2.58,23.5,61.9,26.1,3.87,100,0.97,2.26,42.9,0.97,0.32,82.3,437.4,189.7,6.45,3.55,0.32,2.26,1.29,83.2,80.3,96.5,3.55,0.32,0,0,1.61,3.23,0,0.32,1.94,0,0,0,9.68,0.32,0.32,50,222509,"https://sofifa.com/player/222509/daniel-ceballos-fernandez/220002","Dani Ceballos","CM, CDM",77,80,14500000,1e+05,24,1996-08-07,179,68,243,"Real Madrid CF","Spain Primera Division",1,"SUB",19,NA,2017-07-14,2023,45,"Spain",NA,NA,NA,"Right",3,4,2,"Medium/Medium","Lean (170-185)","Yes",30800000,NA,"Flair, Technical Dribbler (AI)",60,68,77,82,66,67,74,65,41,80,62,83,77,67,77,83,66,55,79,75,77,76,51,75,61,72,75,71,72,76,55,80,66,70,69,12,15,16,7,13,NA,"69+2","69+2","69+2","75",74,74,74,"75","76+2","76+2","76+2","75+2","77+2","77+2","77+2","75+2","73+2","74+2","74+2","74+2","73+2","70+2","66+2","66+2","66+2","70+2","19+2","https://cdn.sofifa.net/players/222/509/22_120.png","https://cdn.sofifa.net/teams/243/60.png","https://cdn.sofifa.net/flags/es.png",NA,"https://cdn.sofifa.net/flags/es.png"
508,"Kayky Chagas","BRA","FW","Manchester City","Premier League",18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,20,20,100,320,0,10,10,100,10,10,100,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,10,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,10,10,0,0,0,0,0,0,0,0,30,0,0,20,20,0,30,0,0,0,0,0,30,400,290,10,10,0,10,0,40,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262053,"https://sofifa.com/player/262053/kayky-da-silva-chagas/220002","Kayky","RW",66,87,2700000,12000,18,2003-06-11,173,67,10,"Manchester City","English Premier League",1,"RES",82,NA,2021-08-26,2025,54,"Brazil",NA,NA,NA,"Left",3,3,1,"Medium/Low","Lean (170-185)","No",7700000,NA,"Technical Dribbler (AI)",82,58,57,72,28,45,57,64,38,60,50,73,45,39,55,71,83,82,84,49,76,62,46,60,43,40,31,22,61,63,64,58,24,30,31,14,14,13,14,9,NA,"60+2","60+2","60+2","66",64,64,64,"66","64+2","64+2","64+2","66+2","57+2","57+2","57+2","66+2","50+2","44+2","44+2","44+2","50+2","47+2","36+2","36+2","36+2","47+2","17+2","https://cdn.sofifa.net/players/262/053/22_120.png","https://cdn.sofifa.net/teams/10/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/br.png"
510,"Trevoh Chalobah","ENG","DF","Chelsea","Premier League",22,1999,20,17,1449,16.1,0.19,0.56,0.43,77.8,0.33,0.43,18.4,0,0,0,70.7,77,91.8,1282.8,353.9,27.9,29.5,94.5,36.4,38.3,95.1,6.09,8.45,72.1,0.06,0.19,6.4,0.37,0,3.35,77,74.9,2.05,1.55,0.12,6.77,0.5,0.19,0,0,0,0,65.3,4.72,6.96,3.23,68.1,3.54,0.5,0.31,70.7,0.06,0.43,0.93,0.43,0.43,0.43,0,0,0,0,0,0.06,0.06,0,0,0,0,0,2.36,1.3,0.99,1.12,0.25,1.24,1.86,66.7,0.62,10.2,3.73,36.4,3.98,5.34,0.93,1.24,0.56,0.06,0.68,2.05,4.41,4.04,0.06,88.5,4.78,31.1,52.5,9.63,0.62,86.6,0.68,0.93,73.3,0.68,0,64.6,245.1,118,4.29,1.93,0,0.06,0.37,66.8,65.4,98,0.12,0.12,0,0,1.37,0.99,0,0.19,1.3,0,0.06,0,10,2.17,1.55,58.3,230918,"https://sofifa.com/player/230918/trevoh-chalobah/220002","T. Chalobah","CB, CDM, CM",73,80,5500000,43000,21,1999-07-05,191,84,5,"Chelsea","English Premier League",1,"SUB",14,NA,2016-06-29,2023,14,"England",NA,NA,NA,"Right",3,3,1,"Low/High","Lean (185+)","Yes",11300000,NA,NA,65,43,63,68,72,77,53,41,69,73,34,69,48,43,68,72,62,68,56,71,59,50,61,72,82,41,73,73,47,62,42,63,69,74,74,5,5,9,9,7,NA,"59+2","59+2","59+2","61",61,61,61,"61","63+2","63+2","63+2","64+2","67+2","67+2","67+2","64+2","69+2","72+2","72+2","72+2","69+2","70+2","73+2","73+2","73+2","70+2","14+2","https://cdn.sofifa.net/players/230/918/22_120.png","https://cdn.sofifa.net/teams/5/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/gb-eng.png"
524,"Giorgio Chiellini","ITA","DF","Juventus","Serie A",37,1984,21,16,1354,15,0,0.27,0,0,0,0,10.6,0,0,0,52,61.5,84.5,1186.9,390,11.9,13.3,89.4,27.4,30.7,89.3,11.8,16.3,72.5,0,0.47,5.4,0.2,0,5.07,61.5,58.5,3,1.67,0,5.13,1.73,0.07,0,0,0,0,43.2,6.73,11.6,43.5,13.2,2.07,0.67,0.53,52,0.33,1.6,1.13,0.67,1.27,1.13,0,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,1.33,0.67,0.8,0.47,0.07,0.4,0.73,54.5,0.33,7.13,2.87,40.2,4.4,2.07,0.67,2.07,1.27,0,0.8,1.2,2.53,4.93,0,72.1,10.3,33.7,38.3,5,0.47,69.3,0.13,0.27,50,0.13,0,41.8,249.7,142.7,3.93,1.2,0.07,0.47,0,49.6,48.8,98.4,0.27,0.13,0,0,1.33,1.6,0.13,0.07,0.67,0,0,0,8.8,3.13,1.53,67.1,138956,"https://sofifa.com/player/138956/giorgio-chiellini/220002","G. Chiellini","CB",86,86,1.2e+07,88000,36,1984-08-14,187,85,45,"Juventus","Italian Serie A",1,"SUB",3,NA,2005-07-01,2023,27,"Italy",1343,"LCB",3,"Left",3,2,4,"Medium/High","Normal (185+)","Yes",19800000,"#Tackling, #Tactician, #Strength, #Complete Defender","Long Throw-in, Injury Prone, Dives Into Tackles (AI), Power Header, Team Player",68,46,60,59,89,85,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,NA,"57+3","57+3","57+3","55",55,55,55,"55","55+3","55+3","55+3","58+3","62+3","62+3","62+3","58+3","75+3","77+3","77+3","77+3","75+3","78+3","85+1","85+1","85+1","78+3","12+3","https://cdn.sofifa.net/players/138/956/22_120.png","https://cdn.sofifa.net/teams/45/60.png","https://cdn.sofifa.net/flags/it.png","https://cdn.sofifa.net/teams/1343/60.png","https://cdn.sofifa.net/flags/it.png"
525,"Federico Chiesa","ITA","MFFW","Juventus","Serie A",24,1997,14,11,863,9.6,0.21,2.92,0.94,32.1,0.07,0.22,17.2,0,0,0,22.8,29.6,77.1,439.7,135.4,10,12,83.5,8.44,10.5,80.2,3.44,5.52,62.3,0.21,1.77,1.35,1.25,0.63,3.02,29.6,26.3,3.33,0.1,0,5.73,1.98,2.4,1.77,0.83,0.42,0.1,18.9,5.52,5.21,4.48,22.7,0.73,1.25,0.21,22.8,0.31,0.63,1.35,0.94,4.17,2.4,0.21,0.52,0.42,0.42,0.21,0.73,0.31,0,0.21,0.1,0.1,0,2.4,1.77,0.83,0.94,0.63,0.73,2.19,33.3,1.46,15,4.58,30.6,4.58,5.42,5,1.25,0,0,1.25,0.83,3.23,0.63,0,45.2,0.83,8.33,19.2,22.5,5.21,41.9,2.19,3.44,63.6,2.4,0.21,31.8,200.9,136.7,5.1,1.98,1.15,1.77,2.81,40.6,28.8,70.8,5.21,0,0,0,1.25,2.08,0.1,2.4,1.77,0.1,0,0,6.77,0.31,1.25,20,235805,"https://sofifa.com/player/235805/federico-chiesa/220002","F. Chiesa","RW, LW, RM",83,91,80500000,74000,23,1997-10-25,175,70,45,"Juventus","Italian Serie A",1,"LM",22,"Fiorentina",NA,2022,27,"Italy",1343,"RW",14,"Right",4,4,3,"High/Medium","Normal (170-185)","Yes",NA,"#Speedster, #Dribbler, #Acrobat","Long Shot Taker (AI), Speed Dribbler (AI)",91,81,74,85,48,73,73,79,50,78,80,89,78,52,72,82,91,91,87,83,81,86,53,85,71,84,69,30,81,75,62,78,65,44,44,6,7,8,9,7,NA,"79+3","79+3","79+3","83",82,82,82,"83","82+3","82+3","82+3","82+3","75+3","75+3","75+3","82+3","67+3","64+3","64+3","64+3","67+3","64+3","57+3","57+3","57+3","64+3","16+3","https://cdn.sofifa.net/players/235/805/22_120.png","https://cdn.sofifa.net/teams/45/60.png","https://cdn.sofifa.net/flags/it.png","https://cdn.sofifa.net/teams/1343/60.png","https://cdn.sofifa.net/flags/it.png"
526,"Ben Chilwell","ENG","DF","Chelsea","Premier League",25,1996,7,6,542,6,0.5,2.17,1,46.2,0.23,0.5,17.9,0,0,0,44.2,57.3,77,703,192.2,22.2,24.3,91.1,18.3,22,83.3,2.67,7.83,34,0.17,1.67,1.17,1,0.17,2.17,57.3,44.3,13,1.67,0,8.83,0.83,1.67,4.17,2.67,0.33,0.17,36.8,8,12.5,39.3,8.5,1.67,7.17,0.17,44.2,0.17,0.33,1.17,2.5,3.5,1.83,1.17,0.17,0.17,0,0.17,0.17,0,0.17,0,0,0,0,1.67,0.83,0.5,1,0.17,0,0.83,0,0.83,15.3,5.17,33.7,5.67,6,3.67,1.67,0,0,1.67,1,2.67,2.5,0.17,70.3,1.5,15.5,24,33.8,4.67,58,0.33,0.83,40,0.5,0,40.2,181.5,86.3,3.83,0.67,0.83,1.83,0.5,49.3,42.8,86.8,5,0,0,0,1.67,3,0.33,1.67,0.83,0,0.17,0,7,1.33,1.83,42.1,229984,"https://sofifa.com/player/229984/ben-chilwell/220002","B. Chilwell","LWB, LB",82,86,40500000,1e+05,24,1996-12-21,178,77,5,"Chelsea","English Premier League",1,"SUB",21,NA,2020-08-26,2025,14,"England",NA,NA,NA,"Left",3,3,2,"High/High","Normal (170-185)","Yes",7.8e+07,"#Engine","Speed Dribbler (AI)",76,53,77,78,78,75,82,49,68,79,42,78,71,67,73,81,77,75,70,80,72,72,86,88,69,42,73,78,74,73,52,74,78,79,82,10,7,14,7,10,NA,"69+2","69+2","69+2","74",72,72,72,"74","73+2","73+2","73+2","77+2","76+2","76+2","76+2","77+2","80+2","78+2","78+2","78+2","80+2","80+2","77+2","77+2","77+2","80+2","17+2","https://cdn.sofifa.net/players/229/984/22_120.png","https://cdn.sofifa.net/teams/5/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/gb-eng.png"
532,"Andreas Christensen","DEN","DF","Chelsea","Premier League",26,1996,19,17,1496,16.6,0,0.3,0,0,0,0,19.6,0,0,0,70.2,76.9,91.4,1434.5,417.5,22.7,24.2,93.8,35.5,37.8,93.9,11.3,13.7,82.8,0,0.3,5.66,0.42,0.06,4.16,76.9,74,2.83,1.93,0.06,8.98,1.2,0.12,0,0,0,0,64,5.3,7.53,4.76,66.9,2.41,0.84,0.24,70.2,0,0.6,1.02,0.48,0.48,0.42,0,0.06,0,0,0,0,0,0,0,0,0,0,1.08,0.72,0.66,0.24,0.18,0.6,0.9,66.7,0.3,8.92,3.07,34.5,5.06,3.13,0.72,1.81,0.54,0,1.27,3.13,4.22,5.24,0.06,87.4,9.64,40.7,47,4.7,0.36,84.8,0.36,0.36,100,0.36,0,59.5,266.7,143.8,3.67,1.02,0,0.12,0.06,63.1,62.2,98.6,0.12,0.12,0,0,0.78,0.42,0,0.12,0.72,0,0,0,10.1,3.61,2.23,61.9,213661,"https://sofifa.com/player/213661/andreas-christensen/220002","A. Christensen","CB",80,85,2.8e+07,95000,25,1996-04-10,187,81,5,"Chelsea","English Premier League",1,"CB",4,NA,2013-04-10,2022,13,"Denmark",1331,"RCB",6,"Right",3,2,2,"Low/Medium","Lean (185+)","Yes",53900000,NA,"Injury Prone",65,31,65,68,83,72,49,36,79,79,25,66,41,39,71,73,60,69,61,79,60,31,75,68,73,20,73,82,32,62,36,76,83,84,82,10,12,8,6,8,NA,"54+2","54+2","54+2","59",58,58,58,"59","62+2","62+2","62+2","63+2","68+2","68+2","68+2","63+2","73+2","77+2","77+2","77+2","73+2","75+2","80+2","80+2","80+2","75+2","17+2","https://cdn.sofifa.net/players/213/661/22_120.png","https://cdn.sofifa.net/teams/5/60.png","https://cdn.sofifa.net/flags/gb-eng.png","https://cdn.sofifa.net/teams/1331/60.png","https://cdn.sofifa.net/flags/dk.png"
